Cement (component 1)(kg in a m^3 mixture),Cementitious_Ratio (by mass),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Blast_Furnace_Slag_Ratio (by mass),Fly Ash (component 3)(kg in a m^3 mixture),fly_ash_ratio (of total weight),"Fly_Ash_Ratio (of total cementitious materials, by mass)",Water  (component 4)(kg in a m^3 mixture),Water_ratio (total by weight),Water-to-Cementitious_Ratio,Superplasticizer (component 5)(kg in a m^3 mixture),Superplasticizer_Ratio (by mass),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Coarse_Aggregate_Ratio (by mass),Fine Aggregate (component 7)(kg in a m^3 mixture),Sand_Ratio (by mass),Age (day),Total Mass of 1 m^3,"Concrete compressive strength(MPa, megapascals) "
342.0 ,0.1548 ,38.0 ,0.0172 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6667 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,180 ,2210.0,52.12 
427.5 ,0.1918 ,47.5 ,0.0213 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.5333 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,28 ,2229.0,37.43 
475.0 ,0.2131 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.4800 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,7 ,2229.0,38.60 
304.0 ,0.1376 ,76.0 ,0.0344 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.7500 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,365 ,2210.0,55.26 
266.0 ,0.1204 ,114.0 ,0.0516 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.8571 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,365 ,2210.0,52.91 
198.6 ,0.0853 ,132.4 ,0.0569 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0825 ,0.9668 ,0.0 ,0.0000 ,978.4 ,0.4205 ,825.5 ,0.3548 ,180 ,2326.9,41.72 
475.0 ,0.2131 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.4800 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,270 ,2229.0,42.13 
190.0 ,0.0860 ,190.0 ,0.0860 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,1.2000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,365 ,2210.0,53.69 
237.5 ,0.1066 ,237.5 ,0.1066 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.9600 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,270 ,2229.0,38.41 
237.5 ,0.1066 ,237.5 ,0.1066 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.9600 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,28 ,2229.0,30.08 
332.5 ,0.1492 ,142.5 ,0.0639 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6857 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,90 ,2229.0,37.72 
475.0 ,0.2131 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.4800 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,90 ,2229.0,42.23 
237.5 ,0.1066 ,237.5 ,0.1066 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.9600 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,180 ,2229.0,36.25 
342.0 ,0.1548 ,38.0 ,0.0172 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6667 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,90 ,2210.0,50.46 
427.5 ,0.1918 ,47.5 ,0.0213 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.5333 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,365 ,2229.0,43.70 
237.5 ,0.1066 ,237.5 ,0.1066 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.9600 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,365 ,2229.0,39.00 
380.0 ,0.1719 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,180 ,2210.0,53.10 
427.5 ,0.1918 ,47.5 ,0.0213 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.5333 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,90 ,2229.0,41.54 
427.5 ,0.1918 ,47.5 ,0.0213 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.5333 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,7 ,2229.0,35.08 
349.0 ,0.1457 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0802 ,0.5501 ,0.0 ,0.0000 ,1047.0 ,0.4372 ,806.9 ,0.3369 ,3 ,2394.9,15.05 
380.0 ,0.1705 ,95.0 ,0.0426 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,180 ,2229.0,40.76 
237.5 ,0.1066 ,237.5 ,0.1066 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.9600 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,7 ,2229.0,26.26 
380.0 ,0.1705 ,95.0 ,0.0426 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,7 ,2229.0,32.82 
332.5 ,0.1492 ,142.5 ,0.0639 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6857 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,180 ,2229.0,39.78 
190.0 ,0.0860 ,190.0 ,0.0860 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,1.2000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,180 ,2210.0,46.93 
237.5 ,0.1066 ,237.5 ,0.1066 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.9600 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,90 ,2229.0,33.12 
304.0 ,0.1376 ,76.0 ,0.0344 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.7500 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,90 ,2210.0,49.19 
139.6 ,0.0583 ,209.4 ,0.0874 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0802 ,1.3754 ,0.0 ,0.0000 ,1047.0 ,0.4372 ,806.9 ,0.3369 ,7 ,2394.9,14.59 
198.6 ,0.0853 ,132.4 ,0.0569 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0825 ,0.9668 ,0.0 ,0.0000 ,978.4 ,0.4205 ,825.5 ,0.3548 ,7 ,2326.9,14.64 
475.0 ,0.2131 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.4800 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,365 ,2229.0,41.93 
198.6 ,0.0853 ,132.4 ,0.0569 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0825 ,0.9668 ,0.0 ,0.0000 ,978.4 ,0.4205 ,825.5 ,0.3548 ,3 ,2326.9,9.13 
304.0 ,0.1376 ,76.0 ,0.0344 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.7500 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,180 ,2210.0,50.95 
332.5 ,0.1492 ,142.5 ,0.0639 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6857 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,28 ,2229.0,33.02 
304.0 ,0.1376 ,76.0 ,0.0344 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.7500 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,270 ,2210.0,54.38 
266.0 ,0.1204 ,114.0 ,0.0516 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.8571 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,270 ,2210.0,51.73 
310.0 ,0.1334 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0826 ,0.6194 ,0.0 ,0.0000 ,971.0 ,0.4179 ,850.6 ,0.3661 ,3 ,2323.6,9.87 
190.0 ,0.0860 ,190.0 ,0.0860 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,1.2000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,270 ,2210.0,50.66 
266.0 ,0.1204 ,114.0 ,0.0516 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.8571 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,180 ,2210.0,48.70 
342.0 ,0.1548 ,38.0 ,0.0172 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6667 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,270 ,2210.0,55.06 
139.6 ,0.0583 ,209.4 ,0.0874 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0802 ,1.3754 ,0.0 ,0.0000 ,1047.0 ,0.4372 ,806.9 ,0.3369 ,360 ,2394.9,44.70 
332.5 ,0.1492 ,142.5 ,0.0639 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6857 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,7 ,2229.0,30.28 
190.0 ,0.0860 ,190.0 ,0.0860 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,1.2000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,28 ,2210.0,40.86 
485.0 ,0.1901 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,146.0 ,0.0572 ,0.3010 ,0.0 ,0.0000 ,1120.0 ,0.4390 ,800.0 ,0.3136 ,28 ,2551.0,71.99 
374.0 ,0.1542 ,189.2 ,0.0780 ,0.0 ,0.0000 ,0.0000 ,170.1 ,0.0701 ,0.4548 ,10.1 ,0.0042 ,926.1 ,0.3817 ,756.7 ,0.3119 ,3 ,2426.2,34.40 
313.3 ,0.1296 ,262.2 ,0.1084 ,0.0 ,0.0000 ,0.0000 ,175.5 ,0.0726 ,0.5602 ,8.6 ,0.0036 ,1046.9 ,0.4329 ,611.8 ,0.2530 ,3 ,2418.3,28.80 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,3 ,2440.5,33.40 
425.0 ,0.1741 ,106.3 ,0.0435 ,0.0 ,0.0000 ,0.0000 ,151.4 ,0.0620 ,0.3562 ,18.6 ,0.0076 ,936.0 ,0.3834 ,803.7 ,0.3293 ,3 ,2441.0,36.30 
375.0 ,0.1522 ,93.8 ,0.0381 ,0.0 ,0.0000 ,0.0000 ,126.6 ,0.0514 ,0.3376 ,23.4 ,0.0095 ,852.1 ,0.3459 ,992.6 ,0.4029 ,3 ,2463.5,29.00 
475.0 ,0.1965 ,118.8 ,0.0491 ,0.0 ,0.0000 ,0.0000 ,181.1 ,0.0749 ,0.3813 ,8.9 ,0.0037 ,852.1 ,0.3525 ,781.5 ,0.3233 ,3 ,2417.4,37.80 
469.0 ,0.1915 ,117.2 ,0.0479 ,0.0 ,0.0000 ,0.0000 ,137.8 ,0.0563 ,0.2938 ,32.2 ,0.0131 ,852.1 ,0.3480 ,840.5 ,0.3432 ,3 ,2448.8,40.20 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,3 ,2440.5,33.40 
388.6 ,0.1597 ,97.1 ,0.0399 ,0.0 ,0.0000 ,0.0000 ,157.9 ,0.0649 ,0.4063 ,12.1 ,0.0050 ,852.1 ,0.3502 ,925.7 ,0.3804 ,3 ,2433.5,28.10 
531.3 ,0.2171 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,141.8 ,0.0579 ,0.2669 ,28.2 ,0.0115 ,852.1 ,0.3482 ,893.7 ,0.3652 ,3 ,2447.1,41.30 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,3 ,2440.5,33.40 
318.8 ,0.1310 ,212.5 ,0.0873 ,0.0 ,0.0000 ,0.0000 ,155.7 ,0.0640 ,0.4884 ,14.3 ,0.0059 ,852.1 ,0.3501 ,880.4 ,0.3617 ,3 ,2433.8,25.20 
401.8 ,0.1637 ,94.7 ,0.0386 ,0.0 ,0.0000 ,0.0000 ,147.4 ,0.0601 ,0.3668 ,11.4 ,0.0046 ,946.8 ,0.3858 ,852.1 ,0.3472 ,3 ,2454.2,41.10 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,3 ,2428.6,35.30 
323.7 ,0.1347 ,282.8 ,0.1177 ,0.0 ,0.0000 ,0.0000 ,183.8 ,0.0765 ,0.5678 ,10.3 ,0.0043 ,942.7 ,0.3923 ,659.9 ,0.2746 ,3 ,2403.2,28.30 
379.5 ,0.1555 ,151.2 ,0.0620 ,0.0 ,0.0000 ,0.0000 ,153.9 ,0.0631 ,0.4055 ,15.9 ,0.0065 ,1134.3 ,0.4649 ,605.0 ,0.2480 ,3 ,2439.8,28.60 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,3 ,2428.6,35.30 
286.3 ,0.1168 ,200.9 ,0.0820 ,0.0 ,0.0000 ,0.0000 ,144.7 ,0.0590 ,0.5054 ,11.2 ,0.0046 ,1004.6 ,0.4098 ,803.7 ,0.3279 ,3 ,2451.4,24.40 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,3 ,2428.6,35.30 
439.0 ,0.1825 ,177.0 ,0.0736 ,0.0 ,0.0000 ,0.0000 ,186.0 ,0.0773 ,0.4237 ,11.1 ,0.0046 ,884.9 ,0.3678 ,707.9 ,0.2942 ,3 ,2405.9,39.30 
389.9 ,0.1593 ,189.0 ,0.0772 ,0.0 ,0.0000 ,0.0000 ,145.9 ,0.0596 ,0.3742 ,22.0 ,0.0090 ,944.7 ,0.3860 ,755.8 ,0.3088 ,3 ,2447.3,40.60 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,3 ,2428.6,35.30 
337.9 ,0.1401 ,189.0 ,0.0784 ,0.0 ,0.0000 ,0.0000 ,174.9 ,0.0725 ,0.5176 ,9.5 ,0.0039 ,944.7 ,0.3917 ,755.8 ,0.3134 ,3 ,2411.8,24.10 
374.0 ,0.1542 ,189.2 ,0.0780 ,0.0 ,0.0000 ,0.0000 ,170.1 ,0.0701 ,0.4548 ,10.1 ,0.0042 ,926.1 ,0.3817 ,756.7 ,0.3119 ,7 ,2426.2,46.20 
313.3 ,0.1296 ,262.2 ,0.1084 ,0.0 ,0.0000 ,0.0000 ,175.5 ,0.0726 ,0.5602 ,8.6 ,0.0036 ,1046.9 ,0.4329 ,611.8 ,0.2530 ,7 ,2418.3,42.80 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,7 ,2440.5,49.20 
425.0 ,0.1741 ,106.3 ,0.0435 ,0.0 ,0.0000 ,0.0000 ,151.4 ,0.0620 ,0.3562 ,18.6 ,0.0076 ,936.0 ,0.3834 ,803.7 ,0.3293 ,7 ,2441.0,46.80 
375.0 ,0.1522 ,93.8 ,0.0381 ,0.0 ,0.0000 ,0.0000 ,126.6 ,0.0514 ,0.3376 ,23.4 ,0.0095 ,852.1 ,0.3459 ,992.6 ,0.4029 ,7 ,2463.5,45.70 
475.0 ,0.1965 ,118.8 ,0.0491 ,0.0 ,0.0000 ,0.0000 ,181.1 ,0.0749 ,0.3813 ,8.9 ,0.0037 ,852.1 ,0.3525 ,781.5 ,0.3233 ,7 ,2417.4,55.60 
469.0 ,0.1915 ,117.2 ,0.0479 ,0.0 ,0.0000 ,0.0000 ,137.8 ,0.0563 ,0.2938 ,32.2 ,0.0131 ,852.1 ,0.3480 ,840.5 ,0.3432 ,7 ,2448.8,54.90 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,7 ,2440.5,49.20 
388.6 ,0.1597 ,97.1 ,0.0399 ,0.0 ,0.0000 ,0.0000 ,157.9 ,0.0649 ,0.4063 ,12.1 ,0.0050 ,852.1 ,0.3502 ,925.7 ,0.3804 ,7 ,2433.5,34.90 
531.3 ,0.2171 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,141.8 ,0.0579 ,0.2669 ,28.2 ,0.0115 ,852.1 ,0.3482 ,893.7 ,0.3652 ,7 ,2447.1,46.90 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,7 ,2440.5,49.20 
318.8 ,0.1310 ,212.5 ,0.0873 ,0.0 ,0.0000 ,0.0000 ,155.7 ,0.0640 ,0.4884 ,14.3 ,0.0059 ,852.1 ,0.3501 ,880.4 ,0.3617 ,7 ,2433.8,33.40 
401.8 ,0.1637 ,94.7 ,0.0386 ,0.0 ,0.0000 ,0.0000 ,147.4 ,0.0601 ,0.3668 ,11.4 ,0.0046 ,946.8 ,0.3858 ,852.1 ,0.3472 ,7 ,2454.2,54.10 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,7 ,2428.6,55.90 
323.7 ,0.1347 ,282.8 ,0.1177 ,0.0 ,0.0000 ,0.0000 ,183.8 ,0.0765 ,0.5678 ,10.3 ,0.0043 ,942.7 ,0.3923 ,659.9 ,0.2746 ,7 ,2403.2,49.80 
379.5 ,0.1555 ,151.2 ,0.0620 ,0.0 ,0.0000 ,0.0000 ,153.9 ,0.0631 ,0.4055 ,15.9 ,0.0065 ,1134.3 ,0.4649 ,605.0 ,0.2480 ,7 ,2439.8,47.10 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,7 ,2428.6,55.90 
286.3 ,0.1168 ,200.9 ,0.0820 ,0.0 ,0.0000 ,0.0000 ,144.7 ,0.0590 ,0.5054 ,11.2 ,0.0046 ,1004.6 ,0.4098 ,803.7 ,0.3279 ,7 ,2451.4,38.00 
